
D:\Program Files\adb>adb shell
# top -d 1
top -d 1


处理方式：模拟cpy_to_trout拷贝数据方式，6814byte数据当作4个pkt拷贝，每个pkt tx descripter和pkt各一次拷贝，
          每300次睡眠1ms，共循环1359次，耗时2001070us, 其中睡眠时间没算在内。
(count: 1359, cost: 2001070)


User 11%, System 8%, IOW 0%, IRQ 0%
User 12 + Nice 0 + Sys 9 + Idle 85 + IOW 0 + IRQ 0 + SIRQ 0 = 106

  PID CPU% S  #THR     VSS     RSS PCY UID      Name
 1627   0% S     8 142768K  20144K  bg app_8    com.android.quicksearchbox
 1638   0% S     7 141448K  19772K  bg app_9    com.android.music
 1653   0% S     8 142632K  20824K  bg app_5    com.cooliris.media
 1672   0% S    19 173096K  28216K  fg app_37   com.wandoujia.phoenix2
 1683   0% S     7 139716K  18716K  bg app_34   com.svox.pico
 1716   0% S     8 140892K  19992K  fg app_38   com.wandoujia.phoenix2.usbproxy
 1787   0% S     1    764K    316K  fg root     /system/bin/sh
 1806   0% S     1    764K    320K  fg root     /system/bin/sh
 1809   0% S     1      0K      0K  fg root     printLog2File_k
 1815   0% Z     1      0K      0K  fg root     dnsmasq
 1817   0% S     1      0K      0K  fg root     event_wq/0
 1823   0% S     1    900K    276K  fg root     sleep
 1827   0% S     1    900K    276K  fg root     sleep
  664   0% S     1      0K      0K  fg root     binder
    2   0% S     1      0K      0K  fg root     kthreadd
    3   0% S     1      0K      0K  fg root     ksoftirqd/0
    4   0% S     1      0K      0K  fg root     watchdog/0
    6   0% S     1      0K      0K  fg root     cpuset
    7   0% S     1      0K      0K  fg root     khelper
   10   0% S     1      0K      0K  fg root     async/mgr
   13   0% S     1      0K      0K  fg root     suspend
  240   0% S     1      0K      0K  fg root     sync_supers



User 1%, System 14%, IOW 0%, IRQ 0%
User 2 + Nice 0 + Sys 16 + Idle 89 + IOW 0 + IRQ 0 + SIRQ 0 = 107

  PID CPU% S  #THR     VSS     RSS PCY UID      Name
 1818   8% D     1      0K      0K  fg root     trace_thread1
 1828   5% R     1    972K    420K  fg root     top
 1819   2% S     1      0K      0K  fg root     irq/41-wlan0
 1810   1% S     1      0K      0K  fg root     rx_workqueue
 1285   0% S    45 223928K  42628K  fg system   system_server
 1817   0% S     1      0K      0K  fg root     event_wq/0
    7   0% S     1      0K      0K  fg root     khelper
   10   0% S     1      0K      0K  fg root     async/mgr
   13   0% S     1      0K      0K  fg root     suspend
  240   0% S     1      0K      0K  fg root     sync_supers
  242   0% S     1      0K      0K  fg root     bdi-default
  244   0% S     1      0K      0K  fg root     kblockd/0
  248   0% S     1      0K      0K  fg root     kseriod
  253   0% S     1      0K      0K  fg root     kmmcd
  265   0% S     1      0K      0K  fg root     cfg80211
  280   0% S     1      0K      0K  fg root     kondemand/0
  284   0% D     1      0K      0K  fg root     swapper
  285   0% S     1      0K      0K  fg root     muxsend/0
  286   0% S     1      0K      0K  fg root     muxpostreceive/
  304   0% S     1      0K      0K  fg root     deep_sleep
